Distributors,Brands,Item Names,Draft/Package,Current On Hand in Case Equivs,Projected Daily Rate of Sales,Projected Days on Hand,90 Days 4/23/2026 thru 7/21/2026 Case Equivs,90 Days 4/23/2025 thru 7/21/2025 Case Equivs,Pct,90 Days  7/22/2025 thru 10/19/2025 Case Equivs,Projected 90 Days Sales Case Equivs,Projected Order in Case Equivs,Last Sale Date
"Doll Dist - Des Moines, IA",Turtle Hunter,Turtle Hunter 1/2 Barrel,DRAFT,0,0.459259266667,0,0,0,--,41.333334,41.333334,41.333334,10/30/2025
"Doll Dist - Des Moines, IA",Jabroni Pils,Jabroni Pils 1/2 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,03/23/2021
"Doll Dist - Des Moines, IA",Jabroni Pils,Jabroni Pils 6/4/16oz can,PACKAGE,0,0,0,0,0,--,0,0,0,06/25/2021
"Doll Dist - Des Moines, IA",99Z GENERIC VOL,99Z GENERIC VOLUME 1/2 KEG,DRAFT,0,0,0,0,137.77778,-1,20.666667,0,0,09/04/2025
"Doll Dist - Des Moines, IA",99Z GENERIC VOL,99Z GENERIC VOLUME 4/6 BTL,PACKAGE,0,0,0,0,0,--,0,0,0,01/01/0001
"Doll Dist - Des Moines, IA",99Z GENERIC VOL,99Z GENERIC VOLUME 1/6 KEG,DRAFT,0,0,0,0,0,--,0,0,0,06/24/2022
"Doll Dist - Des Moines, IA",Equalitea,Equalitea 6/4/12oz can,PACKAGE,0,0,0,0,0,--,0,0,0,09/06/2022
"Doll Dist - Des Moines, IA",Strawberry Jam,Strawberry Jam 6/4/12oz can,PACKAGE,0,0.744444444444,0,67,61,0.098360655738,0,0,0,07/10/2026
"Doll Dist - Des Moines, IA",Strawberry Jam,Strawberry Jam 1/6 Barrel Keg,DRAFT,0,0.050962955556,0,4.586666,0,--,0,0,0,04/29/2026
"Doll Dist - Des Moines, IA",Strawberry Jam,Strawberry Jam 1/2 Barrel Keg,DRAFT,0,0.612345688889,0,55.111112,0,--,0,0,0,04/30/2026
"Doll Dist - Des Moines, IA",Greener State of Mind,Greener State of Mind 1/2 Barrel Keg,DRAFT,0,0,0,0,0,--,0,0,0,10/03/2024
"Doll Dist - Des Moines, IA",Color TV,Color TV 1/2 Barrel,DRAFT,0,0.229629633333,0,20.666667,96.444446,-0.785714285714,0,0,0,04/30/2026
"Doll Dist - Des Moines, IA",Color TV,Color TV 4/6/12oz Can,PACKAGE,0,0,0,0,50,-1,0,0,0,02/25/2026
"Doll Dist - Des Moines, IA",Color TV,Color TV 1/6 Barrel,DRAFT,0,0,0,0,20.639997,-1,0,0,0,03/10/2026
"Doll Dist - Des Moines, IA",Color TV,Color TV 6/4/16oz can,PACKAGE,0,0,0,0,0,--,0,0,0,05/31/2024
"Doll Dist - Des Moines, IA",Citrus Surfer Watermelon,Citrus Surfer Watermelon 4/6/12oz,PACKAGE,0,0,0,0,0,--,0,0,0,07/10/2024
"Doll Dist - Des Moines, IA",A Real Nice Surprise IPA,A Real Nice Surprise IPA 4/6/12oz Can,PACKAGE,0,-0.022222222222,0,-2,0,--,0,0,0,12/11/2025
"Doll Dist - Des Moines, IA",A Real Nice Surprise IPA,A Real Nice Surprise IPA 6/4/16oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,12/02/2024
"Doll Dist - Des Moines, IA",A Real Nice Surprise IPA,A Real Nice Surprise IPA 1/6 Barrel Keg,DRAFT,0,0,0,0,0,--,0,0,0,11/26/2025
"Doll Dist - Des Moines, IA",A Real Nice Surprise IPA,A Real Nice Surprise 1/2 Barrel Keg,DRAFT,0,0,0,0,0,--,0,0,0,12/11/2025
"Doll Dist - Des Moines, IA",1939 Amber Ale,1939 Amber 1/6 Barrel Keg,DRAFT,0,0,0,0,126.133317,-1,158.239981,0,0,03/26/2026
